chunk_id,layer,book,kind,marker,concept,present_in_v14,v14_locations,verdict,target_section,strength,note,critic_flag,critic_note
golden-BOOK-III-SPECTRUM-0240,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.1.1,D0 §6.1.1 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0241,golden,BOOK-III-SPECTRUM,DEF,[DEF 6.1.1],"DEF 6.1.1: external share W_ext (address step, 'where am I') vs internal share W_int (path memory/phase, 'who am I')",no,,integrate,BOOK_06.x,supporting,absent: every event has an external (address/geometry) and internal (path-memory/holonomy phase) projection. This is the conceptual base for the W_ext/W_int forcing; not in v14,,
golden-BOOK-III-SPECTRUM-0242,golden,BOOK-III-SPECTRUM,THE,[THE 6.1.2] (Канонический выбор весов шага; CORE).,"THE 6.1.2: W_ext+W_int=1 and W_int=W_ext^2 force W_ext=phi^-1, W_int=phi^-2 (golden split, M1)",no,,integrate,BOOK_06.x,core-forcing,"absent: load-bearing forcing — binary catalog-free split plus 'memory = square of external step' yields x^2+x-1=0 => W_ext=1/phi, W_int=1/phi^2; any other pair needs exogenous coefficients (violates M1). This phi-forcing of the step weights is entirely missing from v14",,
golden-BOOK-III-SPECTRUM-0243,golden,BOOK-III-SPECTRUM,SECTION,### § III.1.B — Вывод структурного $\pi_0$,"§III.1.B header — central derivation of structural pi_0 from memory canonization, not circle geometry",no,,integrate,BOOK_04.6,supporting,absent: the framing that pi_0 is derived from memory-canonization requirements rather than circle geometry. v14 has the pi_0 value but not this derivation route,,
golden-BOOK-III-SPECTRUM-0244,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.2.1,D0 §6.2.1 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0245,golden,BOOK-III-SPECTRUM,DEF,[DEF 6.2.1],DEF 6.2.1: angular microquantum delta-theta := 3/(5 pi_0 phi),no,,integrate,BOOK_04.6,core-forcing,absent: the angular microquantum delta-theta=3/(5 pi_0 phi) — the equation that links phase-step to pi_0 and is the engine of the pi_0=6/5 phi^2 derivation. Not in v14,,
golden-BOOK-III-SPECTRUM-0246,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.2.2,D0 §6.2.2 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0247,golden,BOOK-III-SPECTRUM,THE,[THE 6.2.A],"THE 6.2.A projective-density: Z=3 zones, D_Sigma=5 layers force rho=Z/D_Sigma=3/5 (no zone/layer weights, M1)",no,,integrate,BOOK_04.6,core-forcing,"absent: the contradiction-forcing of the 3/5 factor — any rho<>3/5 demands exogenous zone/layer weight catalog, forbidden by M1. v14 has no 3/5 projective-density derivation; this is a dropped GOLDEN forcing argument",,
golden-BOOK-III-SPECTRUM-0248,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.2.3,D0 §6.2.3 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0249,golden,BOOK-III-SPECTRUM,LEM,[LEM 6.2.2],LEM 6.2.2: uniqueness delta-theta = delta0 = 1/(2 phi^3) (else new constant k violates M1),partial,BOOK_02 / foundations (delta0 = (sqrt5-2)/2 = 1/(2 phi^3)),integrate,BOOK_04.6,core-forcing,"v14 has delta0 as a foundational constant, but the forcing identification delta-theta = delta0 (any ratio k would be a non-derivable constant => M1 violation) that pins pi_0 is absent — the link between the angular microquantum and delta0 is the dropped step",,
golden-BOOK-III-SPECTRUM-0250,golden,BOOK-III-SPECTRUM,THE,[THE 6.2.B] (Алгебраическая природа константы замыкания).,THE 6.2.B: closure constant must be algebraic in Q(phi); transcendental pi is a continuum limit object outside Q(phi),partial,"BOOK_01 §01.12 (pi_0 phase-closure audit, not continuum replacement); BOOK_07 §07.11",integrate,BOOK_04.6,supporting,v14 asserts pi_0 is not a continuum replacement but does not state the GOLDEN reasoning that CORE admits only Q(phi)-expressible quantities so the cycle-closure constant must be algebraic (pi being transcendental is excluded from CORE) — the field-membership forcing is dropped,,
golden-BOOK-III-SPECTRUM-0251,golden,BOOK-III-SPECTRUM,THE,[THE 6.2.C],THE 6.2.C: unit-precision closure balance delta0 = (3/5)/(pi_0 phi) — tooth-for-tooth cycle closure in Sigma,no,,integrate,BOOK_04.6,core-forcing,absent: the balance equation delta0=(3/5)/(pi_0*phi) that closes the cycle without remainder in the Sigma metric — the central equation from which pi_0 is solved. Not in v14,,
golden-BOOK-III-SPECTRUM-0252,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.2.4,D0 §6.2.4 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0253,golden,BOOK-III-SPECTRUM,THE,[THE 6.2.4],"THE 6.2.4: solve pi_0 = 6/5 phi^2 (~3.14164) from delta0=1/(2phi^3); + THE 6.2.D E=gamma*omega0, E^2-p^2=omega0^2",partial,BOOK_02 §02 (pi_0=6/5 phi^2=3.14164...); BOOK_07 §07.11 (pi_0=6/5 phi^2),integrate,BOOK_04.6,core-forcing,"v14 states the RESULT pi_0=6/5 phi^2 but DROPS the derivation (substituting delta0=1/(2phi^3) into the balance equation and solving). Also fully absent: THE 6.2.D relativistic-energy reframe E=gamma*omega0, E^2-p^2=omega0^2 as re-marking of the looped light at nonzero drift (no E^2-p^2 / rest-frequency content in v14)",,
golden-BOOK-III-SPECTRUM-0254,golden,BOOK-III-SPECTRUM,SECTION,### Объект vs Канал,§ 'Object vs Channel' header — what moves at speed of light,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0255,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.3.1,D0 §6.3.1 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0256,golden,BOOK-III-SPECTRUM,DEF,[DEF 6.3.1],"DEF 6.3.1: channel C = distinguishability propagation speed limit, property of medium/graph not particle",partial,BOOK_01 §01.x (c_D0=1 internal anchor),integrate,BOOK_06.x,supporting,v14 fixes c_D0=1 as an internal anchor but the conceptual definition of the channel C as the medium/graph's distinguishability-propagation limit (not a particle property) is not articulated,,
golden-BOOK-III-SPECTRUM-0257,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.3.2,D0 §6.3.2 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0258,golden,BOOK-III-SPECTRUM,LEM,[LEM 6.3.2],LEM 6.3.2: identity requires memory — object ID cannot live in external geometry (changes each step) so must be in internal memory,no,,integrate,BOOK_06.x,supporting,"absent: the argument that a persistent particle ID cannot be stored in the changing external address and must reside in internal path memory (else it is a wave/medium perturbation, not a particle). Not in v14",,
golden-BOOK-III-SPECTRUM-0259,golden,BOOK-III-SPECTRUM,THE,[THE 6.3.3],THE 6.3.3: photon (m_rest=0) must still carry nonzero path memory m_mem>0 to remain an object,no,,integrate,BOOK_06.x,supporting,absent: even a massless photon must have nonzero path memory m_mem>0 to be an object (else just a history-less flash). No path-memory/m_mem content in v14,,
golden-BOOK-III-SPECTRUM-0260,golden,BOOK-III-SPECTRUM,SECTION,### § III.1.C — Масса $m_0$ и инерция (механизм),§III.1.C header — mass m_0 and inertia mechanism,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0261,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.4.1,D0 §6.4.1 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0262,golden,BOOK-III-SPECTRUM,DEF,[DEF 6.4.1],DEF 6.4.1: memory-mass quantum m_0 := 2 pi_0 = 12/5 phi^2 (one full holonomy cycle),no,,integrate,BOOK_04.6,supporting,absent: the mass quantum m_0=2 pi_0=12/5 phi^2 defined as one full holonomy-cycle length (mass~frequency). No m_0=12/5 phi^2 in v14,,
golden-BOOK-III-SPECTRUM-0263,golden,BOOK-III-SPECTRUM,REM,[REM 6.4.1.R] (Статус \(m_0\)).,REM 6.4.1.R: m_0 is a dimensionless CORE memory/frequency quantum; SI conversion is BRIDGE-only (BOOK IV),partial,"BOOK_01 §01.x (SI values are section maps, internal anchors c=l0=tau0=1); BOOK_03 §03 (single action section / SI as section maps)",integrate,BOOK_04.6,peripheral,"v14 has the general CORE-dimensionless / SI-as-bridge discipline, but the specific status note that m_0 is dimensionless and its eV/kg/s conversion is BRIDGE-only is tied to the (missing) m_0 definition",,
golden-BOOK-III-SPECTRUM-0264,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.5,D0 §6.5 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0265,golden,BOOK-III-SPECTRUM,THE,[THE 6.5.3],THE 6.5.3: inertia = Cost of Rewrite — accelerating an object forces ID-code rewrite; F=ma is a computation-cost law,partial,BOOK_06 §06.39 (inertia = finite rewrite cost of maintaining admissible support; phason flips under acceleration),integrate,BOOK_06.39,supporting,"v14 BOOK_06.39 captures inertia=finite rewrite cost under acceleration (phason-flip model), but drops the explicit operational 7-step derivation and the thesis 'F=ma is a law of computation cost' tying inertia to ID/address resynchronization. The narrative forcing is weaker",,
golden-BOOK-III-SPECTRUM-0266,golden,BOOK-III-SPECTRUM,REM,[REM 6.5.3.R] (Связь с принципом Ландауэра).,REM 6.5.3.R: link to Landauer principle — bit erase/rewrite costs ~ k_B T ln2; inertia as thermodynamic reaction,no,,integrate,BOOK_06.39,supporting,absent: the Landauer-principle connection (rewrite cost ~ k_B T ln 2) interpreting inertia as a thermodynamic reaction to information-state change. No Landauer/k_B T content anywhere in v14,,
golden-BOOK-III-SPECTRUM-0267,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.5.4,D0 §6.5.4 bare section-id header,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0268,golden,BOOK-III-SPECTRUM,THE,[THE 6.5.4],"THE 6.5.4 Rest mass = pure internal complexity (holonomy): m_rest = m_0·W, W = memory winding number",no,,integrate,BOOK_04.04.CVFT,core-forcing,v14 has no m_rest=m_0·W identity nor the forcing that at N_ext=0 all activity is internal ID-cycle memory so rest mass = winding count of holonomy. Mass-as-cycle-density appears only qualitatively.,,
golden-BOOK-III-SPECTRUM-0269,golden,BOOK-III-SPECTRUM,SECTION,### § III.1.D — Внутреннее время $t_0$,Section header § III.1.D Internal time t_0 (what ticks in the clock),,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0270,golden,BOOK-III-SPECTRUM,DEF,[DEF 6.6.1],DEF 6.6.1 Time quantum t_0 := 1/m_0 = 1/(2π_0) as period of elementary identity-refresh; time/mass conjugate,partial,BOOK_07 §07 (π_0); BOOK_06 §06 (π_0-holonomy); BOOK_02 §02.13,integrate,BOOK_06.06,supporting,v14 has π_0=6/5φ² and m_0=2π_0 numerics but DROPS the forcing: t_0=1/m_0 as conjugate time quantum = duration of one ID-cycle / period of identity refresh. The mass<->time conjugacy reasoning is absent.,,
golden-BOOK-III-SPECTRUM-0271,golden,BOOK-III-SPECTRUM,BRIDGE,[BRIDGE 6.6.1.B] (Упаковка в привычные единицы).,BRIDGE 6.6.1.B E·t~h is only a unit comparison; CORE keeps dimensionless frequency<->period invariant m·t~1,no,,integrate,BOOK_06.06,supporting,"The explicit BRIDGE discipline statement (E·t~h is unit packaging only, CORE invariant is m·t~1) is not present in v14; useful for the bridge/SI-calibration firewall.",,
golden-BOOK-III-SPECTRUM-0272,golden,BOOK-III-SPECTRUM,SECTION,D0 §6.7 Итог D0 §6,"Summary §6.7: π_0=6/5φ² graph constant, photon=memory packet, inertia=identity-preservation cost, mass=path memory",,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0273,golden,BOOK-III-SPECTRUM,SECTION,"### Заряды, Спектр и Константы Связи","Section header: Charges, Spectrum and Coupling Constants",,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0274,golden,BOOK-III-SPECTRUM,SECTION,### D0 §9 — От Топологии к Арифметике,Section header §9 From Topology to Arithmetic,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0275,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.0 Цель: От Топологии к Арифметике,"Thesis §9.0: coupling constants = topological eigenvalues of scene 9-11-13; charge=Z winding, spectrum=Lucas, α^-1=359 channels",partial,BOOK_01 §01 (359); BOOK_02 §02.13 (α_top); BOOK_04 §04 (359 edge channels),integrate,BOOK_04.04,supporting,"v14 holds the facts (359, α_top, Lucas traces) scattered but DROPS the unifying forcing thesis that all three (charge discreteness, Lucas denominators, α^-1) are the SAME claim: constants are discrete because topology is discrete.",,
golden-BOOK-III-SPECTRUM-0276,golden,BOOK-III-SPECTRUM,SECTION,### § III.1.E — Заряд и квантование (D0 §9.1–9.2),"§9.E claim: charge quantization is a D0 theorem, not an empirical fact or mere U(1)-compactness consequence",no,,integrate,BOOK_04.04,supporting,v14 never states charge quantization as a derived theorem; it has no charge-discreteness derivation at all. This is the framing chunk for THE 9.1.2.,,
golden-BOOK-III-SPECTRUM-0277,golden,BOOK-III-SPECTRUM,SECTION,### D0 §9.1 — Симметрия сцены и квантование заряда,Section header §9.1 Scene symmetry and charge quantization,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0278,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.1.1 [DEF 9.1.1] Симметрия Сцены,DEF 9.1.1 Scene symmetry Φ = permutation preserving structural action: S(Φγ)=S(γ),no,,integrate,BOOK_04.04,supporting,Action-preserving scene-symmetry definition S(Φγ)=S(γ) is the premise of the charge-quantization theorem and is absent from v14.,,
golden-BOOK-III-SPECTRUM-0279,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.1.2 [THE 9.1.2] Квантование топологического заряда на графе,"THE 9.1.2 Charge quantization on graph: gauge classes = H^1(G,Z), measurable charges = integer cohomology classes -> discrete charge",no,,integrate,BOOK_04.04,core-forcing,"Load-bearing forcing entirely absent in v14: U(1) phase as 1-cochain, gauge = adding exact 1-form, physical classes = H^1(G,Z), hence charge is integer. v14 mentions a 1-cochain sector (BOOK_04:123) but never derives charge discreteness from H^1.",,
golden-BOOK-III-SPECTRUM-0280,golden,BOOK-III-SPECTRUM,REM,[REM 9.1.2.R] (Связь с BOOK I).,REM 9.1.2.R charge discreteness follows from discreteness of fundamental cycles; continuous charge would need external resolution -> violates M1,no,,integrate,BOOK_04.04,core-forcing,"Exact M1-failure-mode candidate: the M1 forcing (continuous charge requires an external resolution parameter, forbidden by M1) is absent from v14. This is the WHY behind charge quantization.",,
golden-BOOK-III-SPECTRUM-0281,golden,BOOK-III-SPECTRUM,SECTION,### § III.1.F — Спектр знаменателей (числа Люка),"§9.F question: why do denominators 3,7,11 appear in physics formulas but not 5 or 13 (Lucas spectrum)",no,,integrate,BOOK_04.04,supporting,"The motivating question framing the Lucas-selector forcing (why 3,7,11 not 5,13) is absent; v14 records Lucas traces without explaining the prime-selection consequence.",,
golden-BOOK-III-SPECTRUM-0282,golden,BOOK-III-SPECTRUM,SECTION,### D0 §9.2 — Целочисленное проецирование,Section header §9.2 Integer projection,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0283,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.2.1 [DEF 9.2.1] Задача Целочисленного Проецирования,DEF 9.2.1 Integer-projection problem: get integer N from irrational φ^k in Q(φ) without arbitrary Round()/external catalog,no,,integrate,BOOK_04.04,core-forcing,"The problem statement that forces the trace selector (interaction needs whole portions, but scales are φ^k irrational; Round() would import an external catalog forbidden by M1) is absent from v14.",,
golden-BOOK-III-SPECTRUM-0284,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.2.2 [THE 9.2.2] Селектор Люка (каноническая целочисленная проекция),"THE 9.2.2 Lucas selector: only catalog-free integer projection of φ^k is the trace L_k=φ^k+ψ^k; primes 3,7,11 after L_3=4 anchor",partial,BOOK_06 §06 (signed-Lucas trace law); BOOK_00 §00 (Lucas trace layers),integrate,BOOK_04.04,core-forcing,"M1 failure mode: v14 records the Lucas trace law (trace_T_pow_eq_signed_lucas) as a fact but DROPS the uniqueness/forcing argument that the trace is the ONLY canonical integer projection (no external Round threshold), and the prime-resonance spectrum 3,7,11 after the L_3=4 base anchor.",,
golden-BOOK-III-SPECTRUM-0285,golden,BOOK-III-SPECTRUM,LEM,[LEM 9.2.2.T] (Следовое происхождение чисел Люка).,LEM 9.2.2.T Trace origin: Tr_{Q(φ)/Q}(φ^k)=φ^k+ψ^k=L_k is the canonical invariant integer function needing no external normalization,partial,BOOK_06 §06 (trace_T_pow_eq_signed_lucas),integrate,BOOK_04.04,supporting,v14 has the matrix/signed-Lucas trace identity but not the field-trace formulation Tr_{Q(φ)/Q}(φ^k)=L_k with the explicit 'no external normalization' (catalog-free) forcing.,,
golden-BOOK-III-SPECTRUM-0286,golden,BOOK-III-SPECTRUM,SECTION,### § III.1.G — Топология 359 и предканонический $\alpha$ (D0 §9.3–9.5),"§9.G claim: α≈1/137 is a structural invariant of the scene, not an accidental fit",partial,BOOK_02 §02.13.4 (α_top=359/φ²-φ^-5),integrate,BOOK_04.04,supporting,v14 carries α_top numerically but as a runtime-normalization line; the explicit anti-numerology claim 'α is a structural scene invariant not a fit' is supporting framing worth preserving.,,
golden-BOOK-III-SPECTRUM-0287,golden,BOOK-III-SPECTRUM,SECTION,### D0 §9.3 — Граф взаимодействий сцены,Section header §9.3 Interaction graph of the scene,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0288,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.3.1 [DEF 9.3.1] Граф Взаимодействий Сцены,"DEF 9.3.1 Interaction graph: 3 zones Z1=defect(9), Z2=torus(11), Z3=shell(13); interaction=inter-zone channel capacity",partial,"BOOK_01 §01 (K(9,11,13)); BOOK_04 §04 (359 edge channels)",integrate,BOOK_04.04,supporting,"v14 has K(9,11,13) and its 359 edges, but the explicit identification of the three parts as zones Z1/Z2/Z3 (defect/torus/shell at addresses 9/11/13) and 'interaction = inter-zone channel-capacity count' framing is not stated together.",,
golden-BOOK-III-SPECTRUM-0289,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.3.2 [LEM 9.3.2] Канальная ёмкость междольных взаимодействий,"LEM 9.3.2 Inter-part channel capacity: |E| of K(9,11,13) = 9·11+11·13+13·9 = 359",yes,BOOK_01 §01 (line 606: |E|=9·11+9·13+11·13=359); BOOK_04 §04 (359-edge 1-skeleton),already-present,BOOK_01.01,supporting,The tripartite edge count 359 with the |E|=ab+bc+ca derivation is fully present in BOOK_01 line 606 and used in BOOK_04.,,
golden-BOOK-III-SPECTRUM-0290,golden,BOOK-III-SPECTRUM,REM,[REM 9.3.2.R] (Интерпретация в BRIDGE-слое).,REM 9.3.2.R interpretation: 359 = number of independent inter-zone channels carrying flux/diffusion in vacuum connectivity,yes,BOOK_04 §04 (359 edge channels); BOOK_08 §08 (359 finite line/carrier numerator),already-present,BOOK_04.04,peripheral,The BRIDGE-layer reading of 359 as independent inter-zone channels for flux/transport is present in BOOK_04 (edge channels) and BOOK_08 (carrier numerator).,,
golden-BOOK-III-SPECTRUM-0291,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.3.3 [REM 9.3.3] (Топологическая форма; ёмкость каналов).,REM 9.3.3 N_paths=359; canonical α^-1 formula and gluing anomaly Δα fixed in §16.3,partial,BOOK_04 §04 (359 edge channels); BOOK_02 §02.13.4 (α_top),integrate,BOOK_04.04,peripheral,"N_paths=359 is present, but the forward pointer to a canonical Δα gluing-anomaly mechanism has no counterpart in v14 because Δα itself is absent (see 0304/0305).",,
golden-BOOK-III-SPECTRUM-0292,golden,BOOK-III-SPECTRUM,REM,[REM 9.5.3] (Возможный источник расхождения второго порядка).,REM 9.5.3 second-order discrepancy fixed as gluing anomaly Δα; hypothesis one contribution scales as δ_0^2,no,,integrate,BOOK_04.04,supporting,"The Δα gluing-anomaly residue between topological and algebraic descriptions, and the δ_0^2-scaling hypothesis, are absent from v14 (v14 uses a q_res runtime dressing instead, with no two-canonization residue).",,
golden-BOOK-III-SPECTRUM-0293,golden,BOOK-III-SPECTRUM,SECTION,### § III.1.H — Renormalization group (RG) как проекция,§9.H question: why do structurally-fixed constants (like 359) appear to run with energy (RG),partial,BOOK_06 §06.20-06.31 (RG as typed forgetting),integrate,BOOK_06.06,supporting,"v14 frames RG as a typed forgetting/dressing bridge but does not pose the GOLDEN question 'constants are structurally fixed, why do they appear to run', which motivates the projection-illusion answer.",,
golden-BOOK-III-SPECTRUM-0294,golden,BOOK-III-SPECTRUM,SECTION,D0 §9.5.1 [THE 9.5.1] RG как Иллюзия,THE 9.5.1 RG as illusion: true constant fixed at k=inf; observer at finite k sees projection π(G) merging channels -> N_eff(k); g(k)=g_0(1+O(φ^-k)),partial,"BOOK_06 §06.31 (φ-discrete RG ladder, g at level k); BOOK_06 §06.20-06.23 (RG as forgetting)",integrate,BOOK_06.06,core-forcing,"M1 failure mode: v14 has a φ-discrete RG ladder and RG-as-forgetting but DROPS the GOLDEN forcing that running is an ARTEFACT of projecting a topologically-fixed graph at finite resolution k (channels merge, N_eff(k) changes), with g(k)=g_0(1+O(φ^-k)) and NO new constants. v14's bridge keeps external beta-functions instead of deriving apparent running from projection statistics.",,
golden-BOOK-III-SPECTRUM-0295,golden,BOOK-III-SPECTRUM,SECTION,### § III.1.I — Итог D0 §9,"Summary §9: charge quantized (integer label), spectrum from Lucas, α^-1 from scene 359; mass spectrum deferred",,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0296,golden,BOOK-III-SPECTRUM,SECTION,## CHAPTER III.2 — Условия согласованности и аномалия склейки,Chapter header III.2 Consistency conditions and gluing anomaly,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0297,golden,BOOK-III-SPECTRUM,SECTION,### D0 §16 — УСЛОВИЯ СОГЛАСОВАННОСТИ И ТЕОРИЯ КОНСТАНТ,Section header §16 Consistency conditions and theory of constants,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0298,golden,BOOK-III-SPECTRUM,SECTION,"### III.2.A — Базис, допуски и численные проверки (D0 §16.0–16.2)","Section header III.2.A Basis, tolerances and numerical checks",,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0299,golden,BOOK-III-SPECTRUM,SECTION,## D0 §16.0 Иммутабельный базис 𝑸(φ),"§16.0 immutable basis: φ,ψ,φ²=φ+1; δ_0=1/(2φ³); ε=φ^-8, ε²=φ^-16; ξ_5=φ^-5 forced as D=5 observer-depth correction",partial,BOOK_02 §02.13 (α_top uses φ^-5); BOOK_01 §01.4 (Q(φ) basis),integrate,BOOK_02.02.13,supporting,v14 uses φ^-5 inside α_top but DROPS the forcing that ξ_5=φ^-5 is the level-D=5 observer correction (M1+ implies minimal distinguishability depth = 5 levels). The ξ_5 = observer-depth derivation is the missing why.,,
golden-BOOK-III-SPECTRUM-0300,golden,BOOK-III-SPECTRUM,SECTION,## D0 §16.1 Структурный канон π₀ и квант памяти m₀,"§16.1 π_0:=6/5φ²; mass-memory quantum m_0:=2π_0; time quantum t_0:=1/m_0; CHK π_0≠π, classic π only as BRIDGE κ->inf",partial,BOOK_02 §02.13 (π_0=6/5φ²); BOOK_07 §07 (π_0=6/5φ²); BOOK_06 §06 (π_0-holonomy),integrate,BOOK_06.06,supporting,"v14 has π_0=6/5φ² numerically but DROPS m_0:=2π_0 as the named memory-mass quantum, t_0:=1/m_0, and the CHK discipline that substituting ordinary π is an external convention not derivable from CORE (only admissible as κ->inf BRIDGE limit).",,
golden-BOOK-III-SPECTRUM-0301,golden,BOOK-III-SPECTRUM,SECTION,## D0 §16.2 Канонический целочисленный предиктор μ/p и критерий CHK (строгий допуск ε²),§16.2 CHK acceptance criterion: a quantity is consistency-confirmed iff relerr <= ε²=φ^-16 ≈ 4.53e-4,no,,integrate,BOOK_05.05,supporting,"The explicit numerical-consistency tolerance ε²=φ^-16 as the CHK acceptance threshold is absent from v14's certificate discipline (BOOK_05), which uses a different cert/no-go vocabulary; the self-referential φ^-16 tolerance is worth importing.",,
golden-BOOK-III-SPECTRUM-0302,golden,BOOK-III-SPECTRUM,SECTION,## D0 §16.3 Условие согласованности для \(\alpha\) и аномалия склейки \(\Delta_\alpha\),Section header §16.3 Consistency condition for α and gluing anomaly Δα,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0303,golden,BOOK-III-SPECTRUM,SECTION,### III.2.B — Условие согласованности для \(\alpha\) и аномалия склейки \(\Delta_\alpha\) (D0 §16.3),Section header III.2.B Consistency condition for α and gluing anomaly Δα,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0304,golden,BOOK-III-SPECTRUM,SECTION,### Строгий Вывод $\alpha^{-1}$,§16.3 strict α^-1: α_top=359/φ²-ξ5 vs α_alg=2^11·π_0/φ^8+2δ_0/3; gluing anomaly Δα=|top-alg|≈4.15e-4<ε²; Δα≠0 is irreducible seam,partial,BOOK_02 §02.13.4 (α_top=359/φ²-φ^-5; runtime α_D0 via q_res),integrate,BOOK_02.02.13,core-forcing,"M1 failure mode and the central result: v14 keeps α_top and reaches 137.036 via a q_res runtime DRESSING, but DROPS (a) the second canonical algebraic writing α_alg=2^11·π_0/φ^8+2δ_0/3, (b) the gluing-anomaly definition Δα=|α_top-α_alg|, (c) the CHK Δα<ε², and (d) COR 16.3.5: Δα≠0 is not a numerical error but an irreducible residue of gluing topological capacity to geometric phase π_0 inside Q(φ) — the seed of the sterile-sector mechanism. This is exactly a forcing argument dropped while the fact survives.",,
golden-BOOK-III-SPECTRUM-0305,golden,BOOK-III-SPECTRUM,DEF,[DEF 16.5.1] (Туннелирование в стерильный сектор).,DEF 16.5.1 / THE 16.3.7 sterile tunneling P_sterile=Θ(Δα²); neutrino mass scale m_ν/m_e ~ Δα² ~ 0.088 eV; Δα=0 would need M1-forbidden dictionary,no,"BOOK_04 §04 (neutrino = neutral leakage, one-anchor oscillation bridge)",integrate,BOOK_04.04,core-forcing,"Entirely absent forcing: P_sterile=Θ(Δα²) (linear term unobservable by sign), neutrino mass scale m_ν~m_e·Δα²≈0.088 eV, and REM 16.3.SE — Δα=0 would imply a hidden identity dictionary between two canonizations, forbidden by M1. v14 only has neutrino as 'neutral leakage' with an externally-anchored oscillation bridge, never deriving the mass SCALE from Δα².",,
golden-BOOK-III-SPECTRUM-0306,golden,BOOK-III-SPECTRUM,SECTION,### III.2.C — Φ–PDG и $\delta_8$‑гребёнка (D0 §16.5),Section header III.2.C Φ-PDG and δ_8 comb,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-III-SPECTRUM-0307,golden,BOOK-III-SPECTRUM,SECTION,## D0 §16.5 Φ–PDG strict: δ8‑гребёнка и каноническая фазовая аномалия склейки \(a_{seam}\),§16.5 Φ-PDG δ_8 comb: δ_8=φ_exp mod 8; THE 16.5.4 canonical seam phase a_seam:=frac(φ^-2+δ_0²-φ^-16)≈0.39544; removing φ^-16 breaks self-reference,no,,integrate,BOOK_04.04,supporting,"Absent from v14: the δ_8 residue (φ-exponent mod 8 after dyadic/κ normalization), the empirical global shift a≈0.3951 across PDG pools, and the canonical a_seam=frac(φ^-2+δ_0²-φ^-16) built only from CORE primitives, with the self-referential argument that dropping ε²=φ^-16 destroys autoreference.",,
