claim_id,value,strength,quadrant,carries,cites,rests_on,depth,genesis,v1_structural,v2_semantic,v3_falsifiable,v4_foundation,v5_external,value_floored,external_question,lean_status,release_status,book,lean_module
D0-SMOOTH-MANIFOLD-PASSPORT-001,39.9,55,FRONT-DOOR,0,7,0,,,15.9,6.0,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_07,
D0-PHASON-WZ-CPL-PASSPORT-001,39.9,55,FRONT-DOOR,0,7,0,,,15.9,6.0,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_08,
D0-CONSTRAINED-HAMILTONIAN-EMBEDDING-PASSPORT-001,39.8,55,FRONT-DOOR,0,3,0,0,True,10.6,11.2,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_06,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport
D0-GEOM-SPECTRAL-ACTION-LADDER-001,39.6,100,FRONT-DOOR,9,1,5,5,False,13.6,20.0,4.0,2.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Geometry.SpectralActionLadder
D0-TORAL-CANONICAL-MARKOV-PARTITION-NOGO-001,39.6,100,FRONT-DOOR,0,3,3,3,False,10.6,9.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_06,D0.Geometry.ToralCanonicalMarkovNoGo
D0-ICECUBE-001,39.5,100,FRONT-DOOR,1,0,0,0,True,4.1,15.9,18.0,1.5,0.0,,,LEAN_PROVED,EMPIRICAL-PASSPORT,BOOK_04/05/08,D0.Matter.NeutrinoPhasonWaves;D0.Passport.IceCubePhasonDecoherence
D0-SCENE-TOP-HOMOLOGY-ORIENTATION-TRIVIAL-001,39.4,100,FRONT-DOOR,0,2,0,0,True,8.4,20.0,11.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_01/02,D0.Topology.SceneTopHomologyOrientation
D0-CVFT-NOGO-001,39.4,100,FRONT-DOOR,0,0,0,0,True,0.0,19.4,20.0,0.0,0.0,,,LEAN_PROVED,NO_GO_PROVED,BOOK_05/08,D0.Dynamics.InternalFeedbackResolvent;D0.Cosmology.FiniteFeedbackEquationOfState;D0.Matter.TerminalFeedbackModes;D0.Cosmology.SDEFeedbackReduction
D0-COSMO-CONFORMAL-TRACE-001,39.1,100,FRONT-DOOR,12,0,2,2,False,15.1,20.0,0.0,4.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Geometry.ConformalLaplacianTrace
D0-SCENE-ACTIVE-EIGENVALUES-001,39.1,100,FRONT-DOOR,10,4,0,0,True,14.1,9.0,4.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Geometry.SceneActiveEigenvalues
D0-VNEXT-MARTINGALE-DIRAC-OWNER-001,39.0,100,FRONT-DOOR,0,3,1,1,False,10.6,13.4,15.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_03,D0.VNext.AFMartingaleDiracScaleNoGo
D0-DELTA-ALPHA-MOMENT-001,38.9,100,FRONT-DOOR,2,15,2,2,False,21.2,12.7,4.0,1.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02/05,D0.Spectral.DeltaAlphaMoment
D0-PHASON-WZ-FINITE-SEQUENCE-SCAFFOLD-001,38.9,100,FRONT-DOOR,0,6,1,1,False,14.9,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.VNext2.PhasonWZSequence
D0-GAP-W-WITNESS-PLUS-ONE-001,38.9,70,FRONT-DOOR,0,2,10,3,False,8.4,17.5,13.0,0.0,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,BRIDGE-ASSUMPTIONS-EXPLICIT,BOOK_01,D0.Core.WitnessForcing;D0.Core.WRecArchitecture
D0-M1-INFO-RECONSTRUCTION-001,38.7,70,FRONT-DOOR,0,1,0,0,True,5.3,20.0,0.0,0.0,13.4,,The finite-information-capacity premise M1 assumes is exactly the hypothesis from which complex Hilbert space is reconstructed operationally - a cited external anchor for the axiom choice.,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,BRIDGE-ASSUMPTIONS-EXPLICIT,BOOK_00,D0.Bridge.M1InfoReconstructionBridge
D0-COSMO-INSTABILITY-SATURATION-001,38.6,100,FRONT-DOOR,1,0,0,0,True,4.1,20.0,13.0,1.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Cosmology.InstabilitySaturation
D0-GAUGE-NONABELIAN-DISCRETE-CURVATURE-001,38.6,100,FRONT-DOOR,6,0,0,0,True,11.5,18.2,0.0,9.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Gauge.NonAbelianDiscreteCurvature
D0-FINAL-CORE-COMPLETION-001,38.6,100,FRONT-DOOR,1,1,14,4,False,5.3,20.0,13.0,0.3,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_05,D0.Verification.PresentCoreMaximality
D0-CAPACITY-V9-001,38.3,100,FRONT-DOOR,18,1,0,0,True,17.3,9.0,0.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01/02,D0.Core.FiniteTypes
D0-CAPACITY-V11-001,38.3,100,FRONT-DOOR,18,1,0,0,True,17.3,9.0,0.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01/02,D0.Core.FiniteTypes
D0-CAPACITY-V13-001,38.3,100,FRONT-DOOR,18,1,0,0,True,17.3,9.0,0.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01/02,D0.Core.FiniteTypes
D0-TWO-COMPLETION-NOGO-STRENGTH-001,38.3,100,FRONT-DOOR,0,1,1,1,False,5.3,20.0,13.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_05,D0.Extensions.TwoCompletionNoGo
D0-RAW-PRIMITIVE-MINIMALITY-001,38.3,100,FRONT-DOOR,0,1,2,2,False,5.3,20.0,13.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_05,D0.SelfReading.PrimitiveMinimalityFromRawFunctor
D0-QUASICRYSTAL-PHENOMENOLOGY-OPERATOR-ORIGIN-001,38.1,100,FRONT-DOOR,9,0,3,2,False,13.6,16.5,4.0,4.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_00/01/02/04/06/07/08,D0.Physics.QuasiGenerationsInflation;D0.Physics.ArchivePhasonDarkMatter;D0.Physics.WindowOffsetChirality;D0.Physics.PhasonFlipInertia;D0.Physics.WindowFractionalCharge;D0.Physics.QuasicrystalPhenomenology
D0-SEAM-HOLONOMY-001,38.0,100,FRONT-DOOR,0,8,0,0,True,16.8,17.2,4.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02,D0.Spectral.SeamHolonomy
D0-ADLER-WEISS-WILLIAMS-PASSPORT-001,38.0,55,FRONT-DOOR,0,0,0,0,True,0.0,20.0,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_06,D0.Bridge.AdlerWeissBridge
D0-HIGGS-RETURN-QUOTIENT-ACTION-OWNER-001,37.9,100,FRONT-DOOR,8,2,0,0,True,12.9,9.0,4.0,12.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_04,D0.Matter.HiggsReturnQuotientAction
D0-VNEXT2-SCENE-FINGERPRINT-OWNER-001,37.9,100,FRONT-DOOR,8,3,0,0,True,12.9,9.0,4.0,12.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_02,D0.VNext2.SceneSpectralFingerprint
D0-RANK3-CUBIC-SYMMETRIC-FUNCTIONS-001,37.9,100,FRONT-DOOR,7,3,0,0,True,12.2,11.2,4.0,10.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07,D0.VNext2.Rank3CubicSymmetricFunctions
D0-SCENE-CHROMATIC-THREE-NOGO-001,37.8,100,FRONT-DOOR,0,0,2,2,False,0.0,17.8,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_07,D0.Combinatorics.SceneChromaticThree
D0-ARCHIVE-ENTROPY-001,37.8,55,FRONT-DOOR,1,0,1,1,False,4.1,20.0,13.0,0.8,0.0,,,PYTHON_CERTIFIED,CERT-CLOSED,BOOK_06/08,D0.Probability.EntropyCouplingKernel
D0-NO-GO-STRESS-SUITE-001,37.7,100,FRONT-DOOR,1,0,3,2,False,4.1,13.1,20.0,0.5,0.0,,,LEAN_PROVED,NO_GO_PROVED,BOOK_02/04/05/06/07,D0.NoGo.StressTestSuite
D0-PHASON-PRESSURE-EOS-SCAFFOLD-001,37.7,100,FRONT-DOOR,0,5,0,0,True,13.7,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_08,D0.Cosmology.PhasonWZTransfer
D0-PAGE-CURVE-FINITE-RANK-OWNER-001,37.7,100,FRONT-DOOR,0,5,0,0,True,13.7,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_07,D0.Gravity.PageCurveFiniteRankOwner
D0-GEOM-HEAT-TRACE-EH-PROXY-001,37.6,100,FRONT-DOOR,11,0,3,3,False,14.6,20.0,0.0,3.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Geometry.HeatTraceEHProxy
D0-PMNS-SEAM-TOPOLOGY-001,37.6,100,FRONT-DOOR,0,3,2,2,False,10.6,9.0,18.0,0.0,0.0,,,LEAN_PROVED,EMPIRICAL-PASSPORT,BOOK_04,D0.Matter.PMNSSeamTopology
D0-ALPHA-RESIDUE-DELTA-NORMALIZATION-NOGO-001,37.4,100,FRONT-DOOR,0,2,2,2,False,8.4,9.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.Spectral.DeltaAlphaNormalizationNoGo
D0-CURRENT-DATA-COMPARISON-CANONICITY-NOGO-001,37.4,100,FRONT-DOOR,0,1,3,3,False,5.3,12.1,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_00/01,D0.Foundation.CurrentDataComparisonCanonicity
D0-ZONE-CURRENT-001,37.1,100,FRONT-DOOR,7,0,0,0,True,12.2,10.4,4.0,10.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Integration.V15.RawZone
D0-ZONE-NEUTRAL-ACTIVE-SPLIT-001,37.1,100,FRONT-DOOR,7,0,0,0,True,12.2,10.4,4.0,10.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Integration.V15.RawZone
D0-PHASE-UNFOLD-002,36.9,100,FRONT-DOOR,8,0,5,2,False,12.9,7.0,13.0,4.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01/02,D0.Phase
D0-VNEXT-33-SCENE-ANCHOR-NOGO-001,36.9,100,FRONT-DOOR,0,6,0,0,True,14.9,9.0,13.0,0.0,0.0,,,LEAN_PROVED,CORE_BRIDGE_SPLIT,BOOK_02,D0.VNext.AFD0SpectralInvariantComparison
D0-SCENE-DIM-EVEN-FIBONACCI-FORCING-001,36.9,100,FRONT-DOOR,0,6,0,0,True,14.9,9.0,13.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_02,D0.VNext2.SceneDimEvenFibonacci
D0-VNEXT-ISOMETRIC-DIRAC-TOWER-NOGO-001,36.7,100,FRONT-DOOR,0,0,0,0,True,0.0,16.7,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.VNext.AFD0LaplacianComparisonNoGo
D0-ARCHIVE-MODE-EXPONENT-001,36.5,100,FRONT-DOOR,7,0,7,3,False,12.2,12.7,9.0,2.6,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07/08,D0.Geometry.ArchiveModeExponent
D0-GEN-MASS-001,36.3,100,FRONT-DOOR,0,4,1,1,False,12.3,9.0,15.0,0.0,0.0,,,LEAN_PROVED,NO_GO_PROVED,BOOK_04,D0.Spectrum.BranchDefectProjectiveControls
D0-IM-COSMO-002,36.3,100,FRONT-DOOR,0,4,4,3,False,12.3,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.IM.ArchivePressureCoupling
D0-BORN-AREA-PRESERVATION-INSUFFICIENT-NOGO-001,36.3,100,FRONT-DOOR,0,0,1,1,False,0.0,16.3,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_01,D0.Core.BornAreaPreservationNoGo
D0-NEUTRINO-MASS-PASSPORT-001,36.3,55,FRONT-DOOR,0,4,0,,,12.3,6.0,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_04,
D0-NO-GO-BARE-ARCHIVE-NONABELIAN-001,36.2,100,FRONT-DOOR,2,0,4,3,False,6.5,9.0,20.0,0.8,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Bridge.OperatorOriginIndex
D0-PHASE-TOWER-002,36.1,100,FRONT-DOOR,0,0,0,0,True,0.0,16.1,20.0,0.0,0.0,,,LEAN_PROVED,NO_GO_PROVED,BOOK_01/02,D0.Combinatorics.InfinitePhaseTower
D0-OPERATOR-GAUGE-CURVATURE-ORIGIN-001,36.1,100,FRONT-DOOR,6,0,0,0,True,11.5,15.6,0.0,9.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Matter.GaugeCurvatureOrigin
D0-FESHBACH-SCHUR-TIME-DELAY-OWNER-001,36.0,100,FRONT-DOOR,2,4,0,0,True,12.3,16.7,4.0,3.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_06,D0.Evolution.FeshbachSchurTimeDelayOwner
D0-CONNES-RECONSTRUCTION-OWNER-001,35.9,70,FRONT-DOOR,0,7,0,0,True,15.9,20.0,0.0,0.0,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,BRIDGE-ASSUMPTIONS-EXPLICIT,BOOK_07,D0.Bridge.ConnesReconstructionBridge
D0-GRADING-MINIMAL-COMPLETION-SELECTION-001,35.6,45,ATTACK-QUEUE,1,3,1,1,False,10.6,15.3,9.0,0.8,0.0,,,LEAN_PROVED,PROOF-TARGET,BOOK_04,D0.Extensions.GradingMinimalCompletion
D0-SM-HYPERCHARGE-ROW-OWNER-001,35.5,100,FRONT-DOOR,0,5,0,0,True,13.7,17.8,4.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_04,D0.Matter.SMHyperchargeRowOwner
D0-DELTA-ALPHA-EXACT-001,35.4,100,BALLAST,4,10,1,1,False,18.3,10.1,4.0,3.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02,D0.Spectral.DeltaAlphaExact
D0-SELF-READING-PRIMITIVE-MINIMALITY-001,35.4,100,BALLAST,1,1,1,1,False,5.3,16.3,13.0,0.8,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_05,D0.Extensions.PrimitiveMinimalityAfterSelfReading
D0-GRAV-QNM-001,35.0,55,BALLAST,0,0,0,0,True,0.0,20.0,15.0,0.0,0.0,,,PYTHON_CERTIFIED,NO_GO_PROVED,BOOK_07,D0.Gravity.BoundaryRelaxationSpectrum
D0-LEPTON-FINITE-GREEN-RESOLVENT-OWNER-001,34.9,100,BALLAST,2,4,0,0,True,12.3,15.6,4.0,3.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_04,D0.Matter.LeptonFiniteGreenResolventOwner
D0-COMPACTNESS-DEF-FORCING-001,34.7,100,BALLAST,0,2,0,0,True,8.4,13.3,13.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07,D0.Gravity.CompactnessLimit
D0-POSTCORE-EXTENSION-SEMANTIC-DEPENDENCE-001,34.7,100,BALLAST,5,1,0,0,True,10.6,12.7,4.0,7.5,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_05,D0.Extensions.ExtensionMinimality
D0-HYPERCHARGE-BL-DIRECTION-BRIDGE-001,34.7,70,BALLAST,0,6,0,0,True,14.9,15.9,4.0,0.0,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,BRIDGE-ASSUMPTIONS-EXPLICIT,BOOK_01,D0.Matter.HyperchargeBLDirectionBridge
D0-SCENE-NORMALIZED-QUOTIENT-DESCENT-001,34.6,100,BALLAST,5,2,8,3,False,10.6,13.1,9.0,1.9,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02,D0.Synthesis.SceneNormalizedQuotientDescent
D0-XI5-CROSS-SECTOR-001,34.6,100,BALLAST,0,3,1,1,False,10.6,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Claims.Xi5TorusDefect
D0-BLACK-HOLE-INFORMATION-UNITARITY-OWNER-001,34.6,100,BALLAST,0,3,0,0,True,10.6,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_07,D0.Gravity.PageCurveFiniteRankOwner
D0-REHEATING-PHASON-INITIAL-DATA-OWNER-001,34.6,100,BALLAST,0,3,0,0,True,10.6,20.0,4.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_08,D0.Cosmology.PhasonInitialCovariance
D0-ALPHA-MEASUREMENT-LIMIT-001,34.6,55,BALLAST,0,3,0,,,10.6,6.0,18.0,0.0,0.0,,,PYTHON_CERTIFIED,EMPIRICAL-PASSPORT,BOOK_02,
D0-PHI-CSTAR-PASSPORT-001,34.6,55,BALLAST,0,3,0,,,10.6,6.0,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_06,
D0-SMOOTH-MANIFOLD-INTERNAL-LIMIT-001,34.6,55,BALLAST,0,3,0,,,10.6,6.0,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_07,
D0-NONRECIPROCAL-ACTIVE-DYNAMICS-FORMALISM-BRIDGE-001,34.5,55,BALLAST,0,1,0,0,True,5.3,11.2,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_03,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport
D0-FESHBACH-CONSTRAINT-SUBMANIFOLD-BRIDGE-001,34.5,55,BALLAST,0,1,0,0,True,5.3,11.2,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_06,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport
D0-FLOQUET-NONRECIPROCAL-DYNAMICS-BRIDGE-001,34.5,55,BALLAST,0,1,0,0,True,5.3,11.2,18.0,0.0,0.0,,,PYTHON_CERTIFIED,PASSPORT-CLOSED,BOOK_06,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport
D0-A2-EINSTEIN-DIVERGENCE-OBSTRUCTION-NOGO-001,34.4,55,BALLAST,0,2,0,,,8.4,6.0,20.0,0.0,0.0,,,PYTHON_CERTIFIED,NO-GO,BOOK_07/08,
D0-TORAL-TIME-MARKOV-CONJUGACY-001,34.4,5,DRIFT,0,7,2,1,False,15.9,14.5,4.0,0.0,0.0,,,OPEN,PROOF-TARGET,BOOK_06,D0.Geometry.LucasVoronoiMarkovPartition
D0-ARCHIVE-PHASE-DISTANCE,34.3,100,BALLAST,5,0,1,1,False,10.6,20.0,0.0,3.8,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_06/07,D0.Geometry.ArchivePhaseDistance
D0-FIBONACCI-IF-FORCING-001,34.3,100,BALLAST,0,4,1,1,False,12.3,9.0,13.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_01,D0.Claims.FibonacciIfBridge
D0-PERRON-SCALE-FLOW-OWNER-001,34.3,100,BALLAST,1,4,1,1,False,12.3,17.2,4.0,0.8,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_02,D0.Spectral.CanonicalRefinementScaleFlow
D0-VNEXT-JOINT-DIRAC-ANCHOR-NOGO-001,34.3,100,BALLAST,0,1,0,0,True,5.3,9.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_02,D0.VNext.AFD0SpectralInvariantComparison
D0-GRADING-NEUTRAL-CURRENT-MAXIMALITY-NOGO-001,34.3,100,BALLAST,0,1,3,2,False,5.3,9.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Extensions.GradingNeutralCurrentConstruction
D0-COMPLEX-QM-FORCING-001,34.3,70,BALLAST,0,1,0,0,True,5.3,20.0,9.0,0.0,0.0,,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,BRIDGE-ASSUMPTIONS-EXPLICIT,BOOK_00,D0.Bridge.ComplexQMBridge
D0-GRAVITY-MACRO-EINSTEIN-INTERFACE-001,34.2,100,BALLAST,4,0,17,7,False,9.5,20.0,4.0,0.8,0.0,,,LEAN_PROVED,CORE_BRIDGE_SPLIT,BOOK_07,D0.Gravity.MacroEinsteinInterface
D0-KTHEORY-GAP-MODULE-001,34.2,100,BALLAST,0,4,1,1,False,12.3,11.2,4.0,0.0,6.7,,"Bellissard gap labelling is measurable in Fibonacci quasicrystals, so this is the one laboratory-accessible channel the corpus touches. DEMOTED 2026-07 from weight 3: the D0 label set was checked and is the GENERIC module Z+Z/phi, identical for any Fibonacci hull, so it discriminates nothing (D0-GAP-LABEL-GENERICITY-NOGO-001). The channel stays open only if a forced gap-opening SUBSET is derived.",LEAN_PROVED,CORE-FORMALIZED,BOOK_07,D0.Claims.KTheoryGapModule
D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,34.1,100,BALLAST,0,4,0,0,True,12.3,17.8,4.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_04,D0.Matter.HiggsLogdetStationary
D0-SCENE-TRIPLE-UNIQUE-001,34.1,100,BALLAST,0,2,0,0,True,8.4,12.7,13.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01,D0.VNext2.SceneTripleUnique
D0-REHEATING-ENERGY-BUDGET-OWNER-001,33.9,100,BALLAST,2,3,1,1,False,10.6,17.8,4.0,1.5,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_08,D0.Cosmology.ReheatingEnergyBudgetOwner
D0-PHI-CYLINDER-TRACE-UNIQUE-001,33.9,55,BALLAST,0,6,0,,,14.9,6.0,13.0,0.0,0.0,,,PYTHON_CERTIFIED,CERT-CLOSED,BOOK_06,
D0-LAPLACIAN-SPECTRUM-FIX-001,33.8,100,BALLAST,9,1,3,2,False,13.6,12.2,4.0,4.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02,D0.Spectral.ZoneMatrixSpectrum
D0-TOP-HODGE-INVERSE-SPECTRAL-RIGIDITY-001,33.7,100,BALLAST,0,2,14,7,False,8.4,16.3,9.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01/02,D0.Synthesis.TopHodgeInverseSpectralRigidity
D0-TORUS-GENERATION-SELECTOR-001,33.7,100,BALLAST,4,0,1,1,False,9.5,17.2,4.0,3.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Matter.GenerationSelectorOrigin
D0-Q8-SIN-CHANNEL-001,33.6,100,BALLAST,0,4,0,0,True,12.3,17.2,4.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Spectral.SeamHolonomy
D0-CASCADE-FLOOR-COMPARISON-001,33.6,100,BALLAST,4,1,0,0,True,9.5,18.2,0.0,6.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01,D0.Foundation.CascadeFloorComparison
D0-HST-ARCHIVE-001,33.5,55,BALLAST,2,0,0,0,True,6.5,20.0,4.0,3.0,0.0,,,PYTHON_CERTIFIED,CERT-CLOSED,BOOK_06/08,D0.Probability.HSTExternalInterface
D0-PHASON-WDE-SIGN-NORMALIZATION-OWNER-001,33.3,100,BALLAST,3,8,1,1,False,16.8,10.2,4.0,2.2,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_08,D0.Cosmology.PhasonWDESignNormalization
D0-CKM-CLASS5-PARITY-EXCLUSION-001,33.3,100,BALLAST,0,2,1,1,False,8.4,9.9,15.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Matter.CKMClass5ParityExclusion
D0-PHASON-ACTIVE-SCENE-CONJUGACY-001,33.2,100,BALLAST,5,3,11,5,False,10.6,12.3,9.0,1.2,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02/08,D0.Synthesis.PhasonActiveSceneConjugacy
D0-ALPHA-HOLONOMY-LINEAR-FORM-001,33.2,100,BALLAST,0,4,0,0,True,12.3,16.9,4.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02,D0.Spectral.SeamTransportLinear
D0-PHI-HURWITZ-CLASS-CANONIZATION-001,33.2,100,BALLAST,5,3,0,0,True,10.6,15.1,0.0,7.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01,D0.NumberTheory.HurwitzClassCanonization
D0-CVFT-001A,33.0,100,BALLAST,0,0,0,0,True,0.0,20.0,13.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_00/01/02/03,D0.Dynamics.InternalFeedbackResolvent;D0.Cosmology.FeedbackPartitionFunction
D0-LEPTON-CYCLIC-GENERATOR-001,33.0,100,BALLAST,0,0,0,0,True,0.0,20.0,13.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_04,D0.LeptonClosure.BranchIndexUnique
D0-EQUIVARIANT-HYPERCHARGE-CARRIER-001,33.0,100,BALLAST,1,1,2,2,False,5.3,18.2,9.0,0.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Synthesis.EquivariantHyperchargeCarrier
D0-MATTER-REP-001,32.9,100,BALLAST,4,3,0,0,True,10.6,16.3,0.0,6.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_04,D0.Matter.GenerationMultiplicity
D0-GEOM-HIGHER-CURVATURE-FLOOR-BOUND-001,32.9,100,BALLAST,5,0,15,6,False,10.6,17.2,4.0,1.1,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Geometry.HigherCurvatureSuppression
D0-PHASON-THAWING-001,32.9,100,BALLAST,1,2,2,2,False,8.4,20.0,4.0,0.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_08,D0.Cosmology.ArchiveConvexity
D0-SCENE-DEGREE-INVARIANT-ALGEBRA-001,32.7,100,BALLAST,1,1,1,1,False,5.3,17.6,9.0,0.8,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01/04,D0.Foundation.InvariantAlgebraDegree
D0-ARCHIVE-VARIATION-DUAL-001,32.7,100,BALLAST,3,0,0,0,True,8.2,20.0,0.0,4.5,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_07,D0.Geometry.ArchiveVariationDual
D0-IM-003,32.7,100,BALLAST,4,0,2,2,False,9.5,17.2,4.0,2.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_06,D0.IM.ContinuumFromFractalTick
D0-SEAM-CROSSING-WEIGHT-001,32.7,100,BALLAST,0,1,7,3,False,5.3,18.4,9.0,0.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_02,D0.Synthesis.SeamCrossingWeightForced
D0-SCENE-LAPLACIAN-SPECTRUM-FORCED-001,32.6,100,BALLAST,0,2,0,0,True,8.4,11.2,13.0,0.0,0.0,,,LEAN_PROVED,CERT-CLOSED,BOOK_02,D0.VNext2.SceneLaplacianSpectrumForced
